,sjyhwebjr1,sjyhwebjr2,sjyhwebjr3,sjyhwebjr4,sjyhwebjr5,sjyhwebjr6,sjyhwebjr7,sjyhwebjr8,sjyhwebjr9,sjyhwebjr10,sjyhwebjr11,sjyhwebjr12,
2017.08.28,0.13,0.12,0.12,0.15,0.14,0.1,0.14,0.08,0.01,0.01,0.14,0.14,
2017.08.29,0.18,0.14,0.15,0.17,0.17,0.15,0.16,0.12,0.02,0.01,0.14,0.15,
