,sjdb1,sjdb2,sjlog,sjmg1,sjmg2,sjyhmem1,sjyhmem2,sjyhmem3,sjyhmem4,sjyhpic1,sjyhpic2,sjyhcj1,sjyhcj2,sjyhmg1,sjyhmg2,
2017.08.28,42,43.9,66.3,17.3,8.4,11,15,13,12,10,10,4,4,13,19,
2017.08.29,44.4,47,66.3,19,8.5,11,15,13,13,11,11,5,5,15,24,
