,sjyhwebjr1,sjyhwebjr2,sjyhwebjr3,sjyhwebjr4,sjyhwebjr5,sjyhwebjr6,sjyhwebjr7,sjyhwebjr8,sjyhwebjr9,sjyhwebjr10,sjyhwebjr11,sjyhwebjr12,
2017.08.28,13,13,14,13,14,13,14,13,3,3,14,13,
2017.08.29,16,16,16,15,16,16,16,16,3,3,16,15,
