,sjdb1,sjdb2,sjlog,sjmg1,sjmg2,sjyhmem1,sjyhmem2,sjyhmem3,sjyhmem4,sjyhpic1,sjyhpic2,sjyhcj1,sjyhcj2,sjyhmg1,sjyhmg2,
2017.08.28,24,21,5,11,0,0.09,0.11,0.11,0.11,0.16,0.19,0.07,0.06,0.09,0.11,
2017.08.29,32,23,15,10,0,0.09,0.1,0.1,0.1,0.2,0.21,0.07,0.07,0.12,0.26,
