,,,,,,,,,,
手机银行系统自动巡检日报,,,,,,,,,,
"日期：August 29, 2017    Tue",,,,,,,,,,
一、客户数：,,,,,,,,,,
日期,,每日登陆客户数,,,每日金融交易登陆数,,,每日新增客户数,,
2017-08-29,,,SYSAUX,,,,33.62,,,
2017-08-29,,,INDEX_MOBILE,,,,28.92,,,
2017-08-29,,,HXMOBILE,,,,25.87,,,
2017-08-29,,,SYSTEM,,,,15.09,,,
2017-08-29,,,MLIVE_CST,,,,7.04,,,
2017-08-29,,,MLIVE_LOG,,,,2.68,,,
2017-08-29,,,HXINNER,,,,2.02,,,
2017-08-29,,,INDEX_INNER,,,,0.55,,,
2017-08-29,,,MLIVE_TRANS,,,,0.1,,,
2017-08-29,,,MLIVE_ARCH,,,,0.02,,,
2017-08-29,,,USERS,,,,0.01,,,
2017-08-29,,,MLIVE_HISTORY,,,,0.01,,,
,,,,,,,,,,
